Unit,Make,Model,Year,Type,Seats (guess),Wheelchair positions (guess),Lift (guess),Active,VIN,Correction
221,Chevrolet,Express 4500,2014,Van,12,2,Yes,Yes,1GB6G5VG1E1162772,
223,Chevrolet,Express 4500,2014,Van,12,2,Yes,Yes,1GB6G5BG6E1162685,
1700,Chevrolet,Tahoe,2020,SUV,7,0,No,Yes,1GNSCEEC9LR249338,
1701,Ford,F550 Champion Defender,2020,Bus (32 Passenger),25,2,Yes,No,1FDAF5GY6KDA21132,
1702,Ford,F550 Champion Defender,2020,Bus (32 Passenger),25,2,Yes,Yes,1FDAF5GY1KDA21135,
1703,Ford,F550 Champion Defender,2019,Bus (32 Passenger),25,2,Yes,Yes,1FDAF5GY4KEF86182,
1704,Ford,F550 Champion Defender,2020,Bus (32 Passenger),25,2,Yes,Yes,1FDAF5GY6KDA19221,
1705,Ford,F550 Champion Defender,2020,Bus (32 Passenger),25,2,Yes,Yes,1FDAF5GY5KDA19663,
1706,Ford,F550 Champion Defender,2020,Bus (32 Passenger),25,2,Yes,Yes,1FDAF5GY7KDA19213,
1707,Ford,F550 Champion Defender,2020,Bus (32 Passenger),25,2,Yes,Yes,1FDAF5GY3KDA19662,
1708,Ford,F550 Champion Defender,2020,Bus (32 Passenger),25,2,Yes,No,1FDAF5GY4KDA19217,
1727,International,CE S,2015,Bus (44 Passenger),44,2,Yes,No,4DRBUC8N4FB085187,
1733,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS2KDC13244,
1734,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS7KDC13238,
1735,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS9KDC13242,
1736,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS0KDC13243,
1737,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS7KDC09304,
1739,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS8KDC13247,
1742,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS6KDC13246,
1743,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS9KDC13239,
1744,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS1KDC13235,
1745,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FSXKDC13251,
1750,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS5KDC13240,
1752,Ford,E450 Eldorado Glaval Universal 27,2019,Bus (16 Passenger),20,2,Yes,Yes,1FDFE4FS7KDC07407,
1753,RAM,Promaster,2019,Van,10,0,No,Yes,3C6URVUG7KE553435,
1761,Ford,E450 Eldorado Aerotech 240,2015,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS3FDA34894,
1766,Ford,E450 Eldorado Aerotech 240,2016,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS4GDC55051,
1767,Ford,E450 Eldorado Aerotech 240,2018,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS3JDC16426,
1768,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS7KDC13241,
1769,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FSXKDC13234,
1770,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS5KDC13237,
1771,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS3KDC13236,
1772,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS2KDC18329,
1773,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS6KDC18334,
1774,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS8KDC18335,
1775,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS4KDC13245,
1776,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS9KDC18330,
1777,Ford,E450 Eldorado Aerotech 240,2019,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS0KDC17227,
1778,Ford,E350 Eldorado Aerotech 200,2018,Bus (10 Passenger),10,2,Yes,Yes,1FDEE3FSXJDC18700,
1779,Ford,E350 Eldorado Aerotech 200,2018,Bus (10 Passenger),10,2,Yes,Yes,1FDEE3FS5JDC18703,
1780,Ford,E350 Eldorado Aerotech 200,2018,Bus (10 Passenger),10,2,Yes,Yes,1FDEE3FS3JDC18702,
1781,Ford,E350 Eldorado Aerotech 200,2018,Bus (10 Passenger),10,2,Yes,Yes,1FDEE3FS3JDC18697,
1782,Ford,E350 Eldorado Aerotech 200,2018,Bus (10 Passenger),10,2,Yes,Yes,1FDEE3FS8JDC18694,
1783,Ford,E350 Eldorado Aerotech 200,2018,Bus (10 Passenger),10,2,Yes,Yes,1FDEE3FSXJDC18695,
1784,Ford,E350 Eldorado Aerotech 200,2018,Bus (10 Passenger),10,2,Yes,Yes,1FDEE3FS1JDC18696,
1785,Ford,E350 Eldorado Aerotech 200,2018,Bus (10 Passenger),10,2,Yes,Yes,1FDEE3FS5JDC18698,
1789,Ford,E450 Eldorado Aerotech 240,2018,Bus (16 Passenger),16,2,Yes,Yes,1FDFE4FS9JDC20810,
