Group,Name,Also matches,Address,Source,Latitude,Longitude,Map link,Needs check,Correction
Shopping,H-E-B Navarro,HEB; H E B; HEB Navarro; HEB plus; grocery,6106 North Navarro Street,map data,28.85185,-96.99502,"https://www.google.com/maps?q=28.85185,-96.99502",,
Shopping,H-E-B Rio Grande,HEB; H E B; HEB Rio; grocery,1505 E Rio Grande St,RidePilot,28.80534,-96.98836,"https://www.google.com/maps?q=28.80534,-96.98836",,
Shopping,Walmart on Navarro,Wal-Mart; Walmart North; Walmart Supercenter,9002 N Navarro St,RidePilot,28.87794,-96.99391,"https://www.google.com/maps?q=28.87794,-96.99391",,
Shopping,Walmart on Houston Highway,Wal-Mart; Walmart Supercenter,4001 Houston Hwy,RidePilot,28.8159,-96.96067,"https://www.google.com/maps?q=28.8159,-96.96067",,
Shopping,Victoria Mall,mall,7800 North Navarro Street,map data,28.86727,-96.99474,"https://www.google.com/maps?q=28.86727,-96.99474",,
Shopping,Target,,7608 Northeast Zac Lentz Parkway,map data,28.86606,-96.99926,"https://www.google.com/maps?q=28.86606,-96.99926",,
Shopping,Lowe's,Lowes,8602 North Navarro Street,map data,28.87333,-96.99599,"https://www.google.com/maps?q=28.87333,-96.99599",,
Shopping,Home Depot,,6708 Northeast Zac Lentz Parkway,map data,28.86648,-96.98952,"https://www.google.com/maps?q=28.86648,-96.98952",,
Shopping,Tractor Supply,,9304 North Navarro Street,map data,28.88177,-96.99492,"https://www.google.com/maps?q=28.88177,-96.99492",,
Shopping,Goodwill,thrift,214 E Larkspur St,RidePilot,28.87115,-96.99589,"https://www.google.com/maps?q=28.87115,-96.99589",,
Health,Citizens Medical Center,Citizens; hospital; ER; emergency room,2701 Hospital Drive,map data,28.8128,-96.97776,"https://www.google.com/maps?q=28.8128,-96.97776",,
Health,Citizens Health Plex,Health Plex; Healthplex,9406 Zac Lentz Pkwy,RidePilot,28.86439,-97.01634,"https://www.google.com/maps?q=28.86439,-97.01634",,
Health,Citizens Cancer Center,cancer,2711 E Red River St,RidePilot,28.81456,-96.97652,"https://www.google.com/maps?q=28.81456,-96.97652",,
Health,DeTar Hospital Navarro,DeTar; hospital; ER; emergency room; Detar Navarro,506 East San Antonio Street,map data,28.80813,-96.9977,"https://www.google.com/maps?q=28.80813,-96.9977",,
Health,DeTar Hospital North,DeTar North; hospital,101 Medical Drive,map data,28.85448,-97.01952,"https://www.google.com/maps?q=28.85448,-97.01952",,
